Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.727,0.68,0.655
Original + -3-pitch 1-pitch 4-pitch,0.741,0.679,0.666
Original + -4-pitch -2-pitch 1-pitch 3-pitch,0.735,0.679,0.651
Original + -4-pitch -2-pitch 2-pitch 3-pitch,0.736,0.679,0.648
Original + -3-pitch -1-pitch 1-pitch 3-pitch,0.741,0.679,0.682
Original + -2-pitch -1-pitch 2-pitch 3-pitch,0.728,0.679,0.665
Original + -4-pitch -3-pitch 2-pitch 3-pitch 4-pitch,0.733,0.679,0.66
Original + -4-pitch -3-pitch -2-pitch 1-pitch 3-pitch 4-pitch,0.727,0.679,0.642
Original + -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.735,0.679,0.637
Original + 1-pitch 4-pitch,0.734,0.678,0.636
Original + -4-pitch -1-pitch 4-pitch,0.731,0.678,0.666
Original + -3-pitch 2-pitch 4-pitch,0.736,0.678,0.676
Original + -4-pitch -3-pitch -1-pitch 2-pitch 3-pitch,0.74,0.678,0.657
Original + -4-pitch -3-pitch -1-pitch 2-pitch 4-pitch,0.734,0.678,0.67
Original + -4-pitch -3-pitch -2-pitch 2-pitch 3-pitch 4-pitch,0.729,0.678,0.657
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.735,0.678,0.656
Original + -1-pitch 4-pitch,0.739,0.677,0.63
Original + -4-pitch -1-pitch 3-pitch,0.739,0.677,0.664
Original + -4-pitch 1-pitch 2-pitch,0.751,0.677,0.66
Original + -4-pitch -2-pitch 1-pitch 4-pitch,0.732,0.677,0.669
Original + -4-pitch -3-pitch 1-pitch 3-pitch 4-pitch,0.731,0.676,0.668
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch,0.733,0.676,0.652
Original + -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.724,0.676,0.655
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 4-pitch,0.738,0.676,0.661
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.729,0.676,0.647
Original + -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.724,0.676,0.652
Original + 2-pitch 3-pitch,0.718,0.675,0.648
Original + -4-pitch 1-pitch 3-pitch,0.745,0.675,0.656
Original + -4-pitch -2-pitch -1-pitch 4-pitch,0.734,0.675,0.674
Original + -4-pitch -2-pitch 2-pitch 4-pitch,0.73,0.675,0.664
Original + -3-pitch -1-pitch 2-pitch 3-pitch,0.741,0.675,0.673
Original + -3-pitch -2-pitch 2-pitch 3-pitch 4-pitch,0.726,0.675,0.644
Original + -3-pitch -1-pitch 1-pitch 4-pitch,0.736,0.674,0.666
Original + -3-pitch -1-pitch 2-pitch 4-pitch,0.732,0.674,0.651
Original + -1-pitch 2-pitch 3-pitch 4-pitch,0.725,0.674,0.624
Original + -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.728,0.674,0.645
Original + -4-pitch -2-pitch -1-pitch 1-pitch 3-pitch,0.739,0.673,0.676
Original + -4-pitch -3-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.728,0.673,0.656
Original + -4-pitch -3-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.734,0.673,0.67
Original + -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.735,0.673,0.664
Original + -4-pitch -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.728,0.673,0.657
