Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + -4-pitch -2-pitch 1-pitch 3-pitch 4-pitch,0.528,0.465,0.552
Original + -4-pitch -2-pitch 2-pitch 3-pitch 4-pitch,0.522,0.452,0.517
Original + -4-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.522,0.468,0.506
Original + -4-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.519,0.474,0.525
Original + -4-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.525,0.470,0.544
Original + -4-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.525,0.459,0.518
Original + -4-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.514,0.470,0.518
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch,0.525,0.480,0.528
Original + -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch,0.526,0.473,0.524
Original + -3-pitch -2-pitch -1-pitch 1-pitch 4-pitch,0.529,0.485,0.544
Original + -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch,0.521,0.469,0.519
Original + -3-pitch -2-pitch -1-pitch 2-pitch 4-pitch,0.536,0.473,0.532
Original + -3-pitch -2-pitch -1-pitch 3-pitch 4-pitch,0.527,0.471,0.518
Original + -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch,0.519,0.467,0.525
Original + -3-pitch -2-pitch 1-pitch 2-pitch 4-pitch,0.521,0.475,0.526
Original + -3-pitch -2-pitch 1-pitch 3-pitch 4-pitch,0.526,0.468,0.544
Original + -3-pitch -2-pitch 2-pitch 3-pitch 4-pitch,0.521,0.452,0.516
Original + -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.525,0.475,0.512
Original + -3-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.522,0.480,0.515
Original + -3-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.527,0.478,0.517
Original + -3-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.527,0.466,0.521
Original + -3-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.525,0.475,0.528
Original + -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.525,0.471,0.537
Original + -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.524,0.481,0.534
Original + -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.523,0.477,0.537
Original + -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.529,0.466,0.514
Original + -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.527,0.475,0.535
Original + -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.536,0.487,0.514
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch,0.534,0.464,0.509
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch,0.531,0.469,0.515
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 4-pitch,0.537,0.470,0.519
Original + -4-pitch -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch,0.528,0.458,0.522
Original + -4-pitch -3-pitch -2-pitch -1-pitch 2-pitch 4-pitch,0.540,0.461,0.549
Original + -4-pitch -3-pitch -2-pitch -1-pitch 3-pitch 4-pitch,0.538,0.464,0.529
Original + -4-pitch -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch,0.532,0.464,0.507
Original + -4-pitch -3-pitch -2-pitch 1-pitch 2-pitch 4-pitch,0.539,0.465,0.534
Original + -4-pitch -3-pitch -2-pitch 1-pitch 3-pitch 4-pitch,0.539,0.465,0.535
Original + -4-pitch -3-pitch -2-pitch 2-pitch 3-pitch 4-pitch,0.531,0.456,0.523
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.531,0.469,0.524
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.533,0.475,0.512
Original + -4-pitch -3-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.533,0.471,0.527
Original + -4-pitch -3-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.532,0.465,0.522
Original + -4-pitch -3-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.528,0.462,0.533
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.526,0.466,0.531
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.529,0.472,0.522
Original + -4-pitch -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.532,0.465,0.549
Original + -4-pitch -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.534,0.463,0.543
Original + -4-pitch -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.528,0.460,0.515
Original + -4-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.523,0.468,0.508
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.526,0.471,0.516
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.526,0.476,0.546
Original + -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.530,0.477,0.541
Original + -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.527,0.463,0.516
Original + -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.530,0.464,0.532
Original + -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.529,0.475,0.526
Original + -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.529,0.475,0.533
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.536,0.465,0.497
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.538,0.472,0.519
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.543,0.468,0.541
Original + -4-pitch -3-pitch -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.533,0.463,0.532
Original + -4-pitch -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.534,0.464,0.533
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.531,0.470,0.520
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.532,0.466,0.508
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.531,0.467,0.525
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.538,0.468,0.535
